,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Region
52,Hong Kong S.A.R. of China,2017,5.362474918,10.9340868,0.83106631,75.90731812,0.8306572440000001,0.128979281,0.415810198,0.63953346,0.200593412,0.5450407270000001,0.637072325,1.849663734,1.7845594880000002,ASIA (EX. NEAR EAST)
53,Hungary,2017,6.065038681,10.19531918,0.8767475490000001,67.19999695,0.6611659529999999,-0.145813331,0.886361301,0.735184252,0.180921271,0.377770513,0.589618564,0.445649564,1.792409182,EASTERN EUROPE
54,Iceland,2017,7.476213932,10.74684143,0.966752827,73.0,0.938783288,0.243323684,0.7268453840000001,0.895254552,0.148160011,0.365041941,1.3744952680000002,1.5818408730000002,1.630090833,WESTERN EUROPE
55,India,2017,4.046111107,8.768212318,0.606767476,59.70000076,0.88585043,-0.053620495,0.780802786,0.682090998,0.31793677800000003,0.8392784,-0.22030808,-0.099256828,1.65982759,ASIA (EX. NEAR EAST)
56,Indonesia,2017,5.098401546,9.322663307000001,0.7955892090000001,61.90000153,0.865026295,0.475460678,0.900416434,0.8625841740000001,0.319171578,0.8257653709999999,-0.190967619,-0.166090265,2.3251791,ASIA (EX. NEAR EAST)
57,Iran,2017,4.716783047,9.856533051,0.714232922,65.69999695,0.7306351659999999,0.18662165100000006,0.714941323,0.693666041,0.438533902,0.6577866613000001,-1.114465237,-0.720983267,2.497179031,ASIA (EX. NEAR EAST)
58,Iraq,2017,4.462399006,9.659119606,0.695109367,59.59999847,0.627722025,-0.037714854,0.757108808,0.505288541,0.59053874,0.424050778,-1.689633727,-1.369387388,2.899484873,NEAR EAST
59,Ireland,2017,7.060155392,11.11744022,0.943481982,72.19999695,0.905341148,0.210759684,0.33708474,0.833388925,0.212784126,0.603799641,1.155644417,1.463197708,1.761334419,WESTERN EUROPE
60,Israel,2017,7.331036091,10.40826416,0.916440845,73.09999847,0.7680763009999999,0.142772496,0.7926522490000001,0.673591316,0.276443154,0.3893681470000001,-0.091396242,1.126434684,1.522682905,NEAR EAST
61,Italy,2017,6.198870182,10.4693718,0.919791222,73.40000153,0.632843256,-0.037178084,0.866667926,0.661180735,0.322846144,0.230196297,0.6453157660000001,0.429987013,1.927246571,WESTERN EUROPE
62,Ivory Coast,2017,5.037734985,8.188968658,0.661375344,48.90000153,0.7320979240000001,-0.096848264,0.770940244,0.697735488,0.35745579,0.516654313,-0.6834599379999999,-0.5640292170000001,2.612090111,SUB-SAHARAN AFRICA
63,Jamaica,2017,5.889759064,9.011104584,0.91302985,67.09999847,0.8606763479999999,-0.128097996,0.8827961679999999,0.769282162,0.243399635,0.34820175200000003,0.47238034,0.07647200700000001,2.399337769,LATIN AMER. & CARIB
64,Japan,2017,5.910676479,10.57137394,0.8819612859999999,74.90000153,0.8493965859999999,-0.217277035,0.659198642,0.740387619,0.17551218,0.412489951,1.064277649,1.519917488,1.950256944,ASIA (EX. NEAR EAST)
65,Jordan,2017,4.808082581,9.028517723,0.814664543,66.59999847,0.7662624720000001,-0.150125921,0.690156,0.6277983779999999,0.391505182,0.44020299999999996,-0.625526786,0.183538705,2.523892403,NEAR EAST
66,Kazakhstan,2017,5.882351398,10.08812237,0.914093196,64.0,0.7452439670000001,-0.045617759,0.7552506920000001,0.7567622070000001,0.171486408,0.755705774,-0.605611205,-0.26314175100000003,1.745323777,C.W. OF IND. STATES
67,Kenya,2017,4.475654125,8.004040717999999,0.714604318,59.5,0.8533943890000001,0.249233559,0.85400039,0.7884522079999999,0.230210304,0.637862563,-0.643422961,-0.478327602,2.532363415,SUB-SAHARAN AFRICA
68,Kosovo,2017,6.149199962999999,9.189712523999999,0.792087257,64.87929535,0.857676744,0.11196661,0.92519182,0.7384355659999999,0.185879096,0.298196137,-0.161395013,-0.367653489,2.432453156,EASTERN EUROPE
69,Kuwait,2017,6.093905449,11.09027195,0.8534913059999999,66.5,0.884181619,-0.039013941,0.738373,0.692071915,0.30732080300000003,0.5503520000000001,-0.323726535,-0.11457786,2.355753183,NEAR EAST
70,Kyrgyzstan,2017,5.629536629,8.129609108,0.882586658,63.79999924,0.859389782,0.164255798,0.8744944929999999,0.755125225,0.160438314,0.561672747,-0.435535431,-0.7608549,1.901391029,C.W. OF IND. STATES
71,Laos,2017,4.623140812,8.763640404,0.70733577,58.29999924,0.891000748,0.073066324,0.591616809,0.872791767,0.34422588299999995,0.839935005,-0.660406411,-0.72428298,1.881973863,ASIA (EX. NEAR EAST)
72,Latvia,2017,5.977817535,10.12918186,0.895098746,66.5,0.6995201109999999,-0.158590496,0.79837811,0.623312771,0.231753111,0.264000505,0.628388107,0.881660819,1.814803123,BALTICS
73,Lebanon,2017,5.153989792,9.50058651,0.7765830159999999,66.59999847,0.604554176,-0.072667308,0.910727262,0.515443921,0.243549213,0.217718095,-1.085361362,-0.6611017579999999,1.929767609,NEAR EAST
74,Lesotho,2017,3.795300722,7.955478668,0.768551648,47.29999924,0.7565051909999999,-0.153132945,0.796859443,0.7462017540000001,0.255303085,0.695299149,-0.105936453,-0.368156135,2.843776941,SUB-SAHARAN AFRICA
75,Liberia,2017,4.424490929,6.623783587999999,0.6848668459999999,55.29999924,0.7333899140000001,0.035448756,0.866806388,0.667946458,0.39133054,0.554991543,-0.216689959,-0.992483616,3.393739939,SUB-SAHARAN AFRICA
76,Libya,2017,5.646852493,9.791522026,0.8227587940000001,62.29999924,0.778695881,-0.053038593,0.673065543,0.69704932,0.379374176,0.483422,-1.884452581,-1.840399504,2.5077879430000003,NORTHERN AFRICA
77,Lithuania,2017,6.272940636,10.2929678,0.926316619,66.69999695,0.749307334,-0.177641675,0.7897098659999999,0.607613146,0.19511883,0.32124728,0.8829061990000001,0.920204639,2.175804377,BALTICS
78,Luxembourg,2017,7.061380862999999,11.45400238,0.905435503,72.59999847,0.90282172,0.039554782,0.330173582,0.7658168670000001,0.184467003,0.73892206,1.42865932,1.7744059559999998,1.424475908,WESTERN EUROPE
79,Macedonia,2017,5.233866692,9.481223106,0.79995513,67.30000305,0.752106607,-0.057991773,0.8556972740000001,0.502459884,0.299390584,0.442916453,-0.194677427,0.02404955,2.111887217,EASTERN EUROPE
