,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"gini of household income reported in Gallup, by wp5-year"
179,Bosnia and Herzegovina,2017,5.089902401,9.368531227,0.775295258,67.5,0.5637986660000001,0.09249863800000001,0.923343062,0.5973416570000001,0.270745516,0.126379713,-0.29460907,-0.33956211799999997,2.281006575,0.44814348200000004,0.486203879
190,Botswana,2017,3.5048811439999996,9.668231964,0.7682586309999999,58.20000076,0.8173080090000001,-0.25349327899999996,0.731441498,0.6563964489999999,0.276252508,0.770821095,0.7063859109999999,0.550655007,2.669425488,0.761630833,0.637864351
203,Brazil,2017,6.332929134,9.554174423,0.9046942590000001,66.19999695,0.764792562,-0.184547558,0.794457376,0.715945125,0.307716906,0.16549027,0.023793146,-0.304572016,2.530506134,0.39957910799999996,0.39262256
213,Bulgaria,2017,5.096901894,9.828942299,0.94175458,66.59999847,0.6890470390000001,-0.156459168,0.910799742,0.614216745,0.188637346,0.326087952,0.375986755,0.17132961800000002,1.852363825,0.363429368,0.343219519
225,Burkina Faso,2017,4.646891117,7.440206527999999,0.784761369,53.40000153,0.6137747170000001,-0.054843456,0.727451324,0.5851724739999999,0.353821069,0.540656149,-0.43318796200000004,-0.386786103,2.19759202,0.472916603,0.553144336
243,Cambodia,2017,4.585842133,8.201130867,0.7650949359999999,61.20000076,0.963774681,0.085995324,0.821022928,0.798616648,0.40828383,0.752442479,-0.493880957,-0.876292229,2.7326514719999997,0.595888674,0.545690596
256,Cameroon,2017,5.07405138,8.121161461,0.69459641,51.90000153,0.7669450040000001,-0.031570964,0.84358561,0.632338762,0.377498746,0.578775525,-1.06689775,-0.962742329,2.815224409,0.55482775,0.565237224
269,Canada,2017,7.414868355,10.69234467,0.93374896,73.40000153,0.9451450109999999,0.155016169,0.362034321,0.8627734779999999,0.21798116,0.652735949,1.2952837940000002,1.8665276769999999,1.603363752,0.21623630800000002,0.601348937
275,Central African Republic,2017,3.475862026,6.494116783,0.319589138,45.20000076,0.645252347,0.09375435900000001,0.8895660040000001,0.6138651970000001,0.599335492,0.650284886,-1.5231218340000001,-1.538732529,2.807073832,0.807590723,0.715371251
287,Chad,2017,4.558937073,7.477691173999999,0.660615563,47.70000076,0.614849687,-0.004919504,0.792389929,0.627503157,0.53824544,0.473544389,-1.3564798830000002,-1.349586964,2.8809604639999997,0.631936908,0.561519265
300,Chile,2017,6.3201193810000005,10.03306866,0.8798407909999999,69.80000305,0.7901164890000001,-0.030261262999999997,0.835987508,0.83847481,0.291042089,0.268283308,0.688375235,1.059408069,2.162420273,0.342148632,0.574647009
313,China,2017,5.0990614889999994,9.636177063,0.772033215,69.0,0.8776175979999999,-0.19122481300000002,0.722924,0.821097255,0.214004755,0.490162,-0.87781024,-0.064554513,2.271663904,0.445506275,0.6333549620000001
326,Colombia,2017,6.157341957000001,9.492126465,0.909249961,67.40000153,0.8375546340000001,-0.162942991,0.87501812,0.8369269970000001,0.299308956,0.221882597,-0.33744511,-0.11399196800000001,2.544821501,0.413298726,0.542027473
340,Congo (Brazzaville),2017,4.883991241,8.493188858,0.655440509,57.29999924,0.777783453,-0.163537174,0.76278311,0.598951638,0.381640553,0.469826549,-0.8244247440000001,-1.239475012,2.9068012239999996,0.595169187,0.477259427
349,Congo (Kinshasa),2017,4.311033248999999,6.694726944,0.669688404,52.90000153,0.704239547,0.085066363,0.8091818690000001,0.550525904,0.40426206600000003,0.47841229999999996,-1.872269154,-1.551753879,2.642479181,0.612957299,0.63245213
361,Costa Rica,2017,7.22518158,9.650206566,0.92169714,71.09999847,0.93561846,-0.073179178,0.7423507570000001,0.8743958470000001,0.275440067,0.407448441,0.8151865009999999,0.40424534700000003,2.07998395,0.287879825,0.469308227
372,Croatia,2017,5.343165873999999,10.02878857,0.770309687,69.59999847,0.7158222790000001,-0.10590641199999999,0.89155972,0.655305028,0.31648823600000003,0.211000666,0.6282944079999999,0.380520016,1.5708214040000001,0.293987006,0.338284969
